,Product Name,Prices
0,Women's Printed Crepe Anarkali Kurti,₹ 314
1,Jivika Attractive Kurtis,₹ 608
2,Women's Crepe Printed Long Kurti Combo of 2,₹ 346
3,Women's Printed Rayon Slub Kurti,₹ 572
4,Adrika Ensemble Kurtis,₹ 413
5,Women Rayon Flared Embellished Yellow Kurti,₹ 400
6,Women's Crepe Printed Long Kurti Combo of 2,₹ 344
7,Trendy Slub Cotton Kurti,₹ 351
8,Aagam Petite Kurtis,₹ 282
9,Women Cotton Blend Straight Embroidered Mustard Kurti,₹ 380
10,Women's Printed Rayon Kurti,₹ 339
11,Women's Printed Rayon Long Anarkali Kurti,₹ 360
12,Ahika Trendy Stylish Crepe Women's Kurti,₹ 267
13,Chitrarekha Drishya Kurtis,₹ 257
14,Women Rayon Flared Embellished Yellow Kurti,₹ 408
15,Women's Printed Rayon Kurti,₹ 470
16,Women's Printed Rayon Kurti,₹ 356
17,Women's Printed Rayon Kurti,₹ 476
